datFile    
TRD490 10.110.21.138 10.111.218.124         
TRD491 10.110.21.133 10.111.218.107         
TRD492 10.110.21.143 10.111.218.145         
TRD493 10.110.21.144 10.111.218.146         
TRD494 10.110.21.136 10.111.218.110         
TRD495 10.110.21.3 10.111.218.31         
TRD496 10.110.21.4 10.111.218.32         
TRD497 10.110.21.5 10.111.218.33         
TRD498 10.110.21.157 10.111.219.75         
TRD499 10.110.21.145 10.111.218.163         
TRD500 10.110.21.155 10.111.219.69         
TRD501 10.110.21.6 10.111.218.34         
TRD502 10.110.21.148 10.111.218.175         
TRD503 10.110.21.137 10.111.218.113         
TRD511 10.110.21.142 10.111.218.135         
TRD512 10.110.22.81 10.111.219.186         
TRW170 10.110.21.221 10.111.218.86         
TRW171 10.110.21.211 10.111.218.216         
TRW172 10.110.21.222 10.111.218.222         
TRW173 10.110.21.223 10.111.219.3         
TRW175 10.110.21.242 10.111.219.145         
WD11 10.110.21.158 10.111.218.85         
WD14 10.110.21.7 10.111.218.35         
WD18 10.110.21.159 10.111.218.183         
WD19 10.110.21.246 10.111.219.85         
WL107 10.110.22.104 unknown         
WS1 10.110.22.56 10.111.218.186         
WS2 10.110.22.57 10.111.219.80         
WT107NPE 10.110.21.180 unknown         
WT108NPE 10.110.21.182 unknown         
WT163NPE 10.110.21.179 unknown         
WT165 10.110.21.176 unknown         
WT22 10.110.21.177 10.111.218.218         
WT23 10.110.21.181 10.111.219.5         
WT28 10.110.21.174 10.111.218.136         
WT29 10.110.21.183 10.111.219.11         
WT30 10.110.21.11 10.111.218.39         
WT31 10.110.21.12 10.111.218.40         
WT32 10.110.21.170 10.111.218.80         
WT33 10.110.21.171 10.111.218.81         
WT34 10.110.21.234 10.111.218.66         
WT35 10.110.21.175 10.111.218.166         
WT36 10.110.21.173 10.111.218.125         
WT62 10.110.22.44 10.111.219.65         
WT65 10.110.22.46 10.111.219.84         
WT66 10.110.22.47 10.111.219.90         
WT67 10.110.22.48 unknown         
WT68 10.110.22.54 10.111.218.105         
