timestamp,Angle Velocity[deg/sec],Angle[deg]
11865,-0.208740,158.796387,
11867,0.472412,158.785400,
11869,0.000000,158.785400,
11871,-0.433960,158.779907,
11873,0.241699,158.790894,
11875,-0.131836,158.785400,
11877,-0.197754,158.785400,
11879,0.203247,158.785400,
11881,0.192261,158.779907,
11883,-0.895386,158.774414,
11885,-0.280151,158.768921,
11887,0.335083,158.746948,
11889,-0.291138,158.746948,
11891,0.065918,158.730469,
11893,0.120850,158.713989,
11895,-0.411987,158.697510,
11897,-0.005493,158.681030,
11899,0.406494,158.670044,
11901,-0.582275,158.659058,
11903,-0.071411,158.648071,
11905,0.120850,158.631592,
11907,-0.889893,158.609619,
11909,-0.060425,158.593140,
11911,0.280151,158.582153,
11913,-0.488892,158.571167,
11915,0.159302,158.571167,
11917,0.236206,158.565674,
11919,-0.780029,158.554688,
11921,0.175781,158.543701,
11923,-0.098877,158.521729,
11925,-0.928345,158.488770,
11927,0.005493,158.466797,
11929,-0.131836,158.439331,
11931,-0.148315,158.422852,
11933,0.027466,158.417358,
11935,-0.043945,158.406372,
11937,-0.433960,158.389893,
11939,0.148315,158.384399,
11941,-0.461426,158.367920,
11943,-0.637207,158.351440,
11945,0.065918,158.340454,
11947,-0.032959,158.318481,
11949,-0.791016,158.285522,
11951,0.076904,158.263550,
11953,-0.098877,158.241577,
11955,-0.505371,158.236084,
11957,0.016479,158.230591,
11959,-0.197754,158.225098,
11961,-0.098877,158.225098,
11963,0.000000,158.225098,
11965,-0.071411,158.214111,
11967,-0.390015,158.214111,
11969,0.159302,158.203125,
11971,0.126343,158.186646,
11973,-0.516357,158.175659,
11975,0.186768,158.181152,
11977,-0.043945,158.197632,
11979,-0.395508,158.208618,
11981,0.049438,158.214111,
11983,0.197754,158.203125,
11985,-0.483398,158.197632,
11987,-0.016479,158.186646,
11989,0.137329,158.181152,
11991,-0.466919,158.181152,
11993,0.346069,158.192139,
11995,0.664673,158.208618,
11997,-0.010986,158.241577,
11999,0.466919,158.285522,
12001,0.571289,158.318481,
12003,-0.203247,158.340454,
12005,0.318604,158.367920,
12007,0.098877,158.389893,
12009,0.076904,158.411865,
12011,0.324097,158.439331,
12013,0.362549,158.450317,
12015,-0.362549,158.472290,
12017,0.186768,158.483276,
12019,0.670166,158.494263,
12021,-0.258179,158.499756,
12023,0.186768,158.499756,
12025,-0.060425,158.505249,
12027,-0.005493,158.521729,
12029,0.719604,158.560181,
12031,0.406494,158.582153,
12033,0.016479,158.615112,
12035,-0.291138,158.631592,
12037,0.302124,158.642578,
12039,0.186768,158.659058,
12041,0.021973,158.664551,
12043,0.010986,158.670044,
12045,-0.593262,158.659058,
12047,-0.098877,158.653564,
12049,0.098877,158.648071,
12051,-0.648193,158.653564,
12053,-0.142822,158.659058,
12055,0.170288,158.648071,
12057,-0.582275,158.637085,
12059,-0.291138,158.615112,
12061,0.038452,158.576660,
12063,-0.758057,158.549194,
12065,-0.027466,158.538208,
12067,0.043945,158.532715,
12069,-0.241699,158.521729,
12071,-0.098877,158.521729,
12073,0.142822,158.516235,
12075,-0.203247,158.516235,
12077,-0.324097,158.527222,
12079,0.368042,158.538208,
12081,-0.065918,158.543701,
12083,-0.615234,158.521729,
12085,0.598755,158.516235,
12087,-0.422974,158.516235,
12089,0.148315,158.538208,
12091,0.280151,158.554688,
12093,0.159302,158.576660,
12095,0.038452,158.593140,
12097,0.791016,158.576660,
12099,-0.214233,158.582153,
12101,-0.027466,158.571167,
12103,0.027466,158.560181,
12105,-0.752563,158.549194,
12107,-0.153809,158.549194,
12109,0.351562,158.538208,
12111,-0.368042,158.521729,
12113,-0.324097,158.521729,
12115,0.142822,158.505249,
12117,-0.615234,158.499756,
12119,-0.362549,158.483276,
12121,0.197754,158.472290,
12123,-0.450439,158.444824,
12125,-0.225220,158.428345,
12127,0.038452,158.417358,
12129,-0.379028,158.417358,
12131,0.263672,158.433838,
12133,0.428467,158.444824,
12135,-0.505371,158.461304,
12137,0.115356,158.461304,
12139,0.098877,158.444824,
12141,-0.483398,158.422852,
12143,-0.362549,158.400879,
12145,0.230713,158.378906,
12147,-0.263672,158.373413,
12149,0.038452,158.367920,
12151,0.131836,158.356934,
12153,-0.554810,158.351440,
12155,0.082397,158.334961,
12157,0.417480,158.312988,
12159,-0.626221,158.296509,
12161,-0.433960,158.274536,
12163,-0.197754,158.241577,
12165,-0.401001,158.219604,
12167,-0.076904,158.197632,
12169,0.263672,158.181152,
12171,-0.269165,158.170166,
12173,-0.368042,158.159180,
12175,-0.126343,158.137207,
12177,-0.461426,158.115234,
12179,-0.368042,158.098755,
12181,0.104370,158.087769,
12183,-0.082397,158.076782,
12185,0.153809,158.065796,
12187,-0.082397,158.060303,
12189,-0.258179,158.060303,
12191,0.065918,158.065796,
12193,0.505371,158.076782,
12195,0.104370,158.098755,
12197,0.324097,158.137207,
12199,0.642700,158.175659,
12201,0.296631,158.214111,
12203,0.483398,158.236084,
12205,0.186768,158.241577,
12207,-0.521851,158.258057,
12209,0.527344,158.274536,
12211,0.911865,158.307495,
12213,-0.010986,158.329468,
12215,0.153809,158.345947,
12217,0.087891,158.345947,
12219,-0.433960,158.345947,
12221,-0.197754,158.340454,
12223,0.340576,158.340454,
12225,-0.461426,158.329468,
12227,-0.252686,158.329468,
12229,0.153809,158.312988,
12231,-0.664673,158.302002,
12233,0.065918,158.296509,
12235,0.362549,158.291016,
12237,-0.571289,158.291016,
12239,-0.131836,158.291016,
12241,0.005493,158.258057,
12243,-0.532837,158.230591,
12245,-0.444946,158.208618,
12247,-0.236206,158.186646,
12249,-0.917358,158.170166,
12251,0.236206,158.164673,
12253,0.225220,158.153687,
12255,-0.324097,158.137207,
12257,-0.175781,158.142700,
12259,0.142822,158.142700,
12261,-0.906372,158.142700,
12263,0.038452,158.148193,
12265,0.390015,158.131714,
12267,-0.422974,158.126221,
12269,-0.104370,158.142700,
12271,0.406494,158.159180,
12273,0.153809,158.186646,
12275,0.499878,158.214111,
12277,0.208740,158.236084,
12279,-0.560303,158.225098,
12281,0.000000,158.214111,
12283,0.258179,158.181152,
12285,-0.598755,158.148193,
12287,-0.538330,158.120728,
12289,-0.527344,158.093262,
12291,0.285645,158.076782,
12293,0.148315,158.065796,
12295,0.021973,158.071289,
12297,0.313110,158.087769,
12299,0.049438,158.126221,
12301,0.752563,158.159180,
12303,0.010986,158.175659,
12305,-0.247192,158.192139,
12307,0.000000,158.192139,
12309,-0.472412,158.170166,
12311,-0.499878,158.131714,
12313,-0.791016,158.093262,
12315,-0.571289,158.054810,
12317,0.214233,158.021851,
12319,-0.780029,157.988892,
12321,-0.296631,157.961426,
12323,0.587769,157.950439,
12325,-0.379028,157.961426,
12327,0.609741,157.983398,
12329,0.845947,158.021851,
12331,-0.444946,158.038330,
12333,-0.021973,158.054810,
12335,0.401001,158.065796,
12337,0.346069,158.060303,
12339,-0.087891,158.060303,
12341,0.005493,158.065796,
12343,0.411987,158.071289,
12345,-0.263672,158.076782,
12347,-0.499878,158.071289,
12349,-0.708618,158.054810,
12351,0.324097,158.027344,
12353,-0.186768,157.983398,
12355,-1.054688,157.933960,
12357,-0.214233,157.911987,
12359,-0.010986,157.901001,
12361,-0.642700,157.895508,
12363,0.373535,157.906494,
12365,0.280151,157.911987,
12367,-0.137329,157.911987,
12369,-0.285645,157.917480,
12371,0.373535,157.922974,
12373,0.005493,157.922974,
12375,-0.142822,157.933960,
12377,0.269165,157.944946,
12379,0.060425,157.950439,
12381,-0.752563,157.955933,
12383,0.142822,157.950439,
12385,0.461426,157.955933,
12387,0.208740,157.972412,
12389,0.516357,158.016357,
12391,0.115356,158.043823,
12393,-0.609741,158.071289,
12395,0.148315,158.087769,
12397,-0.098877,158.087769,
12399,-0.104370,158.115234,
12401,0.461426,158.153687,
12403,0.362549,158.175659,
12405,-0.027466,158.208618,
12407,0.120850,158.230591,
12409,0.131836,158.225098,
12411,0.302124,158.241577,
12413,0.186768,158.258057,
12415,-0.186768,158.280029,
12417,-0.269165,158.312988,
12419,0.637207,158.340454,
12421,0.351562,158.345947,
12423,-0.197754,158.345947,
12425,-0.208740,158.345947,
12427,-0.071411,158.345947,
12429,-0.032959,158.334961,
12431,0.087891,158.323975,
12433,-0.098877,158.302002,
12435,-0.532837,158.280029,
12437,-0.203247,158.241577,
12439,-0.483398,158.208618,
12441,-0.483398,158.164673,
12443,-0.510864,158.126221,
12445,-0.516357,158.071289,
12447,-1.159058,158.005371,
12449,-0.741577,157.928467,
12451,-0.560303,157.829590,
12453,-1.120605,157.730713,
12455,-1.439209,157.648315,
12457,-0.098877,157.560425,
12459,-0.834961,157.500000,
12461,-0.433960,157.461548,
12463,-0.098877,157.417603,
12465,-0.730591,157.368164,
12467,-0.488892,157.313232,
12469,-0.208740,157.247314,
12471,-0.181274,157.181396,
12473,-1.170044,157.098999,
12475,-1.049194,157.027588,
12477,-0.527344,156.967163,
12479,-0.483398,156.917725,
12481,-0.725098,156.879272,
12483,0.406494,156.851807,
12485,-0.538330,156.813354,
12487,-0.368042,156.774902,
12489,-1.246948,156.703491,
12491,-0.906372,156.615601,
12493,-1.213989,156.489258,
12495,-1.450195,156.340942,
12497,-1.719360,156.170654,
12499,-2.005005,155.978394,
12501,-1.834717,155.797119,
12503,-1.950073,155.621338,
12505,-1.697388,155.451050,
12507,-1.032715,155.269775,
12509,-1.680908,155.093994,
12511,-1.609497,154.923706,
12513,-1.614990,154.747925,
12515,-1.713867,154.577637,
12517,-1.549072,154.407349,
12519,-1.746826,154.259033,
12521,-0.983276,154.121704,
12523,-0.994263,153.989868,
12525,-1.417236,153.880005,
12527,-0.516357,153.764648,
12529,-1.598511,153.643799,
12531,-1.636963,153.506470,
12533,-1.554565,153.347168,
12535,-1.889648,153.160400,
12537,-1.801758,152.946167,
12539,-1.653442,152.726440,
12541,-2.653198,152.501221,
12543,-2.669678,152.265015,
12545,-2.081909,152.017822,
12547,-2.351074,151.781616,
12549,-1.972046,151.528931,
12551,-2.669678,151.259766,
12553,-3.619995,150.974121,
12555,-3.169556,150.639038,
12557,-3.636475,150.270996,
12559,-3.142090,149.864502,
12561,-4.987793,149.490967,
12563,-5.504150,149.106445,
12565,-4.317627,148.760376,
12567,-3.482666,148.447266,
12569,-3.004761,148.128662,
12571,-2.834473,147.826538,
12573,-3.691406,147.507935,
12575,-3.087158,147.205811,
12577,-3.614502,146.909180,
12579,-3.323364,146.596069,
12581,-2.279663,146.271973,
12583,-2.609253,145.980835,
12585,-2.395020,145.717163,
12587,-2.005005,145.486450,
12589,-2.279663,145.283203,
12591,-2.488403,145.085449,
12593,-2.158813,144.871216,
12595,-2.411499,144.640503,
12597,-2.592773,144.398804,
12599,-2.955322,144.129639,
12601,-2.796021,143.860474,
12603,-2.537842,143.580322,
12605,-2.389526,143.322144,
12607,-2.477417,143.058472,
12609,-2.438965,142.789307,
12611,-2.521362,142.514648,
12613,-2.125854,142.256470,
12615,-2.246704,141.998291,
12617,-2.543335,141.734619,
12619,-2.664185,141.454468,
12621,-2.713623,141.163330,
12623,-2.999268,140.861206,
12625,-2.971802,140.537109,
12627,-2.642212,140.240479,
12629,-2.466431,139.987793,
12631,-1.230469,139.779053,
12633,-1.362305,139.586792,
12635,-1.450195,139.394531,
12637,-1.433716,139.218750,
12639,-2.455444,138.999023,
12641,-2.449951,138.762817,
12643,-1.521606,138.521118,
12645,-1.807251,138.268433,
12647,-2.125854,138.010254,
12649,-2.548828,137.752075,
12651,-2.449951,137.477417,
12653,-2.680664,137.191772,
12655,-3.004761,136.878662,
12657,-3.658447,136.532593,
12659,-3.933105,136.148071,
12661,-4.389038,135.725098,
12663,-4.323120,135.269165,
12665,-4.702148,134.769287,
12667,-5.059204,134.247437,
12669,-4.910889,133.731079,
12671,-5.081177,133.209229,
12673,-5.377808,132.681885,
12675,-4.757080,132.160034,
12677,-5.031738,131.638184,
12679,-4.685669,131.138306,
12681,-4.262695,130.676880,
12683,-4.240723,130.231934,
12685,-4.125366,129.792480,
12687,-4.691162,129.358521,
12689,-4.899902,128.891602,
12691,-4.482422,128.408203,
12693,-3.356323,127.957764,
12695,-3.449707,127.540283,
12697,-3.576050,127.155762,
12699,-3.504639,126.793213,
12701,-3.762817,126.436157,
12703,-3.636475,126.057129,
12705,-3.636475,125.661621,
12707,-3.872681,125.260620,
12709,-4.476929,124.859619,
12711,-4.075928,124.431152,
12713,-3.751831,124.013672,
12715,-3.488159,123.618164,
12717,-3.488159,123.228149,
12719,-3.554077,122.838135,
12721,-4.086914,122.426147,
12723,-4.312134,121.992188,
12725,-4.520874,121.530762,
12727,-5.723877,121.041870,
12729,-5.537109,120.591431,
12731,-3.636475,120.124512,
12733,-3.746338,119.668579,
12735,-3.784790,119.229126,
12737,-4.350586,118.778687,
12739,-4.152832,118.328247,
12741,-4.641724,117.844849,
12743,-5.037231,117.339478,
12745,-5.976562,116.795654,
12747,-6.009521,116.229858,
12749,-6.553345,115.658569,
12751,-5.872192,115.109253,
12753,-4.850464,114.570923,
12755,-4.570312,114.076538,
12757,-4.262695,113.587646,
12759,-4.812012,113.087769,
12761,-4.768066,112.576904,
12763,-5.240479,112.049561,
12765,-5.278931,111.500244,
12767,-5.322876,110.945435,
12769,-5.663452,110.390625,
12771,-5.317383,109.846802,
12773,-5.311890,109.286499,
12775,-5.542603,108.726196,
12777,-5.993042,108.138428,
12779,-6.300659,107.512207,
12781,-6.789551,106.814575,
12783,-7.382812,106.078491,
12785,-7.371826,105.320435,
12787,-7.201538,104.567871,
12789,-7.278442,103.831787,
12791,-7.662964,103.090210,
12793,-7.630005,102.337646,
12795,-7.135620,101.552124,
12797,-7.904663,100.761108,
12799,-7.597046,99.959106,
12801,-7.393799,99.184570,
12803,-7.564087,98.393555,
12805,-7.712402,97.586060,
12807,-7.844238,96.773071,
12809,-8.673706,95.949097,
12811,-8.140869,95.130615,
12813,-8.333130,94.345093,
12815,-7.487183,93.559570,
12817,-7.783813,92.768555,
12819,-7.404785,91.977539,
12821,-8.481445,91.170044,
12823,-8.151855,90.368042,
12825,-8.723145,89.538574,
12827,-8.421021,88.714600,
12829,-8.272705,87.901611,
12831,-8.794556,87.094116,
12833,-7.954102,86.297607,
12835,-7.503662,85.534058,
12837,-7.058716,84.808960,
12839,-6.860962,84.111328,
12841,-6.339111,83.468628,
12843,-6.234741,82.864380,
12845,-5.191040,82.315063,
12847,-5.668945,81.798706,
12849,-4.949341,81.326294,
12851,-4.328613,80.859375,
12853,-4.757080,80.430908,
12855,-3.729858,80.029907,
12857,-3.416748,79.667358,
12859,-3.153076,79.326782,
12861,-2.790527,79.013672,
12863,-2.850952,78.728027,
12865,-3.411255,78.469849,
12867,-2.658691,78.239136,
12869,-2.257690,78.024902,
12871,-1.625977,77.821655,
12873,-1.494141,77.629395,
12875,-1.790771,77.431641,
12877,-1.735840,77.222900,
12879,-1.884155,77.025146,
12881,-1.829224,76.827393,
12883,-2.005005,76.629639,
12885,-2.076416,76.420898,
12887,-2.065430,76.195679,
12889,-1.966553,75.975952,
12891,-1.834717,75.756226,
12893,-1.411743,75.547485,
12895,-1.878662,75.344238,
12897,-2.010498,75.140991,
12899,-2.092896,74.932251,
12901,-1.950073,74.712524,
12903,-2.389526,74.498291,
12905,-2.235718,74.278564,
12907,-2.010498,74.080811,
12909,-1.636963,73.899536,
12911,-1.362305,73.740234,
12913,-1.219482,73.608398,
12915,-1.076660,73.504028,
12917,-0.675659,73.416138,
12919,-0.637207,73.350220,
12921,-0.719604,73.306274,
12923,-0.521851,73.273315,
12925,-0.565796,73.256836,
12927,0.082397,73.256836,
12929,-0.159302,73.267822,
12931,-0.071411,73.295288,
12933,0.082397,73.339233,
12935,0.241699,73.377686,
12937,0.796509,73.432617,
12939,0.071411,73.482056,
12941,0.087891,73.536987,
12943,-0.049438,73.586426,
12945,0.357056,73.630371,
12947,0.230713,73.674316,
12949,0.302124,73.723755,
12951,0.192261,73.784180,
12953,0.181274,73.844604,
12955,0.247192,73.910522,
12957,0.422974,73.987427,
